circRNA,disease,mean_importance,std_importance,n_explanations,rank
circ-znf609,colorectal neoplasms,0.2442265883088112,0.1432682781760278,20,79
circ-znf609,prostatic neoplasms,0.2442265883088112,0.1432682781760278,20,80
circ-znf652,"carcinoma, renal cell",0.2442265883088112,0.1432682781760278,20,81
circ2174,cholangiocarcinoma,0.2442265883088112,0.1432682781760278,20,82
circ_0002198,endometriosis,0.2442265883088112,0.1432682781760278,20,83
circ_0004712,endometriosis,0.2442265883088112,0.1432682781760278,20,84
circ_0043144,"vitreoretinopathy, proliferative",0.2442265883088112,0.1432682781760278,20,85
circ_101222,pre-eclampsia,0.2442265883088112,0.1432682781760278,20,86
circ_103124,crohn disease,0.2442265883088112,0.1432682781760278,20,87
circ_103546,crohn disease,0.2442265883088112,0.1432682781760278,20,88
circ_1639,"liver diseases, alcoholic",0.2442265883088112,0.1432682781760278,20,89
circ_aff2,hematopoiesis,0.2442265883088112,0.1432682781760278,20,90
circ_arf3,osteosarcoma,0.2442265883088112,0.1432682781760278,20,91
circ_cct4,"epilepsy, temporal lobe",0.2442265883088112,0.1432682781760278,20,92
circ_drosha,"epilepsy, temporal lobe",0.2442265883088112,0.1432682781760278,20,93
circ_efcab2,"epilepsy, temporal lobe",0.2442265883088112,0.1432682781760278,20,94
circ_katnal1,prostatic neoplasms,0.2442265883088112,0.1432682781760278,20,95
circ_orc2,osteosarcoma,0.2442265883088112,0.1432682781760278,20,96
circ_sdha,primary great saphenous vein varicosities,0.2442265883088112,0.1432682781760278,20,97
circ_specc1,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,98
circ_stk17a,"epilepsy, temporal lobe",0.2442265883088112,0.1432682781760278,20,99
circ_ubqln1,"epilepsy, temporal lobe",0.2442265883088112,0.1432682781760278,20,100
circ_usp9y,"epilepsy, temporal lobe",0.2442265883088112,0.1432682781760278,20,101
circ_vps37c,"epilepsy, temporal lobe",0.2442265883088112,0.1432682781760278,20,102
circabcc2,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,103
circabcc4,prostatic neoplasms,0.2442265883088112,0.1432682781760278,20,104
circadamts13,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,105
circadamts13,liver neoplasms,0.2442265883088112,0.1432682781760278,20,106
circadamts14,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,107
circagfg1,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,108
circamotl1l,prostatic neoplasms,0.2442265883088112,0.1432682781760278,20,109
circankrd36,"diabetes mellitus, type 2",0.2442265883088112,0.1432682781760278,20,110
circanks1b,colorectal neoplasms,0.2442265883088112,0.1432682781760278,20,111
circasap1,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,112
circass1,breast neoplasms,0.2442265883088112,0.1432682781760278,20,113
circatrnl1,squamous cell carcinoma of head and neck,0.2442265883088112,0.1432682781760278,20,114
circatxn7,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,115
circbach2,"thyroid cancer, papillary",0.2442265883088112,0.1432682781760278,20,116
circbirc6,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,117
circbmpr2,breast neoplasms,0.2442265883088112,0.1432682781760278,20,118
circcct3,colorectal neoplasms,0.2442265883088112,0.1432682781760278,20,119
circcep128,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,120
circclk3,uterine cervical neoplasms,0.2442265883088112,0.1432682781760278,20,121
circctdp1,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,122
circdennd4c,breast neoplasms,0.2442265883088112,0.1432682781760278,20,123
circdennd4c,colonic neoplasms,0.2442265883088112,0.1432682781760278,20,124
circdlgap4,ischemic stroke,0.2442265883088112,0.1432682781760278,20,125
