ablation,mean_auc,std_auc,mean_aupr,std_aupr,delta_auc,delta_aupr
mask GIP disease–disease,0.4884975134633719,0.0189108995625503,0.5117161259434154,0.0188297829922068,-0.2209384421139427,-0.1185999567047043
mask ALL GIP edges,0.6561210028601614,0.0351163893914259,0.6035065414069358,0.0304332446735108,-0.0533149527171532,-0.0268095412411839
mask GIP circRNA–circRNA,0.6975005797624262,0.0424149608452598,0.6320751347277318,0.0409411586013849,-0.0119353758148884,0.001759052079612
baseline,0.7094359555773146,0.0313409015408436,0.6303160826481198,0.020535402124932,0.0,0.0
mask circRNA–disease edges,0.8064443814579093,0.0183176268839017,0.8158513786038913,0.0255101714154327,0.0970084258805946,0.1855352959557715
