node_type,layer,mean,std,median,q10,q90
circRNA,layer1,0.9431843161582947,0.05306814983487129,0.9580729603767395,0.8621875286102295,0.9971431493759155
circRNA,layer2,0.9624879956245422,0.03235948830842972,0.9703452587127686,0.911881685256958,0.9968208074569702
circRNA,layer3,0.9694725871086121,0.025574343279004097,0.9754192233085632,0.9315159916877747,0.9971902966499329
circRNA,layer4,0.967862069606781,0.028132857754826546,0.9750719666481018,0.9300326704978943,0.9968304634094238
disease,layer1,0.8343608975410461,0.15911322832107544,0.8867841362953186,0.5827841758728027,0.9954947829246521
disease,layer2,0.8738911151885986,0.11045205593109131,0.9010087847709656,0.7090698480606079,0.9951562881469727
disease,layer3,0.8989092707633972,0.08851660043001175,0.9194281697273254,0.767419695854187,0.9964969158172607
disease,layer4,0.8740644454956055,0.12947218120098114,0.9104142785072327,0.6678067445755005,0.9965102076530457
