ablation,mean_auc,std_auc,mean_aupr,std_aupr,delta_auc,delta_aupr
mask GIP disease–disease,0.4884975134633719,0.0189108995625503,0.5117161259434154,0.018829782992206886,-0.22093844211394276,-0.11859995670470436
mask ALL GIP edges,0.6561210028601614,0.03511638939142591,0.6035065414069358,0.030433244673510898,-0.05331495271715325,-0.026809541241183954
mask GIP circRNA–circRNA,0.6975005797624262,0.042414960845259836,0.6320751347277318,0.04094115860138497,-0.01193537581488846,0.0017590520796120224
baseline,0.7094359555773146,0.03134090154084363,0.6303160826481198,0.02053540212493203,0.0,0.0
mask circRNA–disease edges,0.8064443814579093,0.018317626883901702,0.8158513786038913,0.025510171415432794,0.09700842588059466,0.18553529595577156
